frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
21,293.477,321.71967,256.27136,363.72797,207.16306,417.7754,151.85812,470.24414,122.457565,396.77942,211.83264,369.76993,211.45255,390.66144,226.96756,290.99066,314.92398,354.4863,322.14996,325.79086,331.13028,341.80182,442.33783,463.01135,472.89417,503.547,465.4519,454.5548,481.97522,493.73975,440.7885,459.29218,465.5569,484.1344,0.9889382,0.9908101,0.99236083,0.79044706,0.89537334,0.7116422,0.7316138,0.01644662,0.02146867,0.03259355,0.04268208,0.005038321,0.005750507,0.0026175082,0.0031689405,0.0023009777,0.0025971532
22,298.13757,325.88058,259.77087,365.5458,207.41797,421.7719,149.82426,473.01895,116.05904,388.5224,199.75833,375.2417,213.18228,394.74496,225.09402,295.77777,316.48257,354.36862,322.2071,324.73166,331.73288,340.92996,445.72186,461.5813,474.17725,495.336,463.27124,451.66913,482.7426,492.26953,446.12305,460.86115,469.17615,485.40454,0.98900855,0.99025625,0.99336374,0.74627495,0.9162849,0.6705513,0.7138412,0.012819916,0.019500732,0.026441157,0.039461195,0.00449878,0.005476773,0.002367705,0.0029643774,0.0021331012,0.0024559498
23,302.66797,329.57666,264.41647,366.688,213.1898,421.68573,154.54202,472.04767,116.476746,390.17056,196.94492,376.17825,214.63742,396.13135,216.66676,305.5491,296.12445,352.99692,320.2152,322.83792,333.6619,343.41666,445.63275,462.24536,470.46436,491.4469,461.37012,446.01727,471.20996,480.94537,445.6234,461.73022,471.1775,487.76648,0.9899429,0.99102294,0.9938991,0.7315429,0.9161906,0.629241,0.682987,0.013035327,0.020012468,0.029134125,0.043494493,0.0049031675,0.0059856474,0.0024499,0.002986014,0.0019794405,0.0022341907
24,303.82678,329.99402,266.22235,366.91174,214.79106,423.21692,152.6543,468.70044,118.96353,380.18683,213.89183,374.5627,211.26384,397.70135,213.46935,300.81036,302.26242,353.02863,320.25778,322.94095,330.40552,340.26517,446.44263,461.73535,476.85754,495.5736,461.84607,453.42596,477.23602,486.8427,448.3211,464.3208,468.7743,488.52637,0.98815763,0.98943657,0.9931865,0.7346923,0.9160857,0.6192646,0.7021782,0.010779977,0.019699186,0.02376151,0.039022803,0.004501343,0.005847603,0.0023390055,0.0030638278,0.0020961761,0.0024894476
25,306.81082,333.24524,269.2011,367.99487,219.02379,423.7303,151.05974,469.14655,115.069275,383.76242,202.88898,374.60107,208.80782,403.05948,212.98193,305.32474,297.17932,355.485,320.9292,323.01422,336.10013,344.75433,452.2152,467.9322,479.21985,498.7303,463.0912,451.02203,463.13477,473.48578,451.614,470.1325,471.1277,494.51044,0.98896146,0.9902463,0.9935659,0.7396792,0.92022204,0.6241209,0.68919045,0.011326879,0.017767876,0.02510193,0.037459046,0.004765123,0.0058363676,0.0022643805,0.0027896166,0.0016913116,0.0019231141
26,310.6272,335.85367,271.40643,368.9531,218.84003,420.4402,155.14723,465.64194,114.69237,383.78073,191.33487,370.01263,209.06512,395.65375,215.02863,299.84732,287.8146,354.4565,320.45645,323.66498,335.19528,346.74557,448.88965,463.75427,478.40662,492.15442,465.2574,456.424,462.9713,473.52332,452.00378,473.31445,468.23102,496.7649,0.98974,0.98912424,0.9948905,0.6427231,0.9415468,0.59764755,0.6736637,0.010309041,0.017607301,0.021075636,0.03401798,0.0047286153,0.0059105456,0.0022931397,0.002807647,0.0018374026,0.002024144
27,311.64288,337.17288,272.11615,369.21948,218.75288,416.6209,158.02673,464.2813,121.07938,395.39978,199.3125,370.50546,213.1431,391.16714,215.88019,300.45544,283.4153,355.67633,321.65515,324.04422,337.43823,347.2661,447.30786,462.40796,473.51038,491.60516,464.9121,453.63965,460.10223,470.5592,455.95117,476.06427,472.74463,496.7254,0.9905695,0.9892962,0.9954387,0.5911414,0.94727284,0.5906311,0.64104843,0.010751694,0.016400874,0.021541238,0.032954037,0.00496462,0.0058521926,0.0023717284,0.002723515,0.0018350482,0.0019159913
28,315.64304,340.122,275.98386,369.00665,220.62073,417.6247,156.51064,464.42346,112.142136,379.60782,181.8024,371.35254,212.57939,389.08542,208.81927,301.4953,275.58026,357.1856,323.49103,325.20224,340.01544,349.15793,450.38727,464.78943,476.2539,492.73694,463.24713,457.75787,455.9428,465.59967,454.94928,473.51605,470.00616,493.31274,0.9905618,0.98894227,0.9956504,0.5758451,0.95251226,0.5860729,0.6544987,0.011325151,0.01747775,0.02395749,0.035701603,0.005069107,0.0060747564,0.0023733675,0.002646178,0.0017519295,0.0017936528
29,316.10562,340.00818,277.0735,369.40222,221.46823,421.14325,153.4755,465.75165,110.15462,375.13068,189.77351,370.58636,207.6331,394.05444,204.56235,302.15988,277.0585,357.09515,324.55383,326.4801,339.27267,348.7866,452.50348,465.2815,480.83325,493.43347,463.43762,459.27405,464.57715,473.88782,455.52094,473.98486,468.05505,493.7005,0.98925865,0.9877335,0.99536675,0.58797693,0.95365167,0.5746127,0.6689156,0.009813517,0.017850548,0.02029556,0.03382221,0.0048373938,0.006163746,0.002301544,0.0027674139,0.0018991232,0.0020501912
30,316.83215,340.6591,276.4483,370.2172,218.92654,417.03485,157.6806,464.72153,114.36841,381.40222,193.65762,368.56134,211.71634,387.69022,212.04831,302.21707,278.89478,359.1201,326.52118,329.1131,340.10397,351.26587,450.80762,465.6682,476.1491,492.69806,460.99884,458.10107,465.11725,475.4519,455.30646,475.0204,465.5315,489.94568,0.9902569,0.98808426,0.99585366,0.5375622,0.9560554,0.5743241,0.6374421,0.010915011,0.016894192,0.023800433,0.0357261,0.0050145388,0.005924523,0.0025273561,0.0028189719,0.0021114051,0.0021344125
31,318.54797,341.00763,277.4486,368.22754,219.45857,415.70166,163.02887,463.51712,120.9754,382.3463,190.06161,371.136,217.54796,389.02344,216.80347,304.18793,274.873,358.8267,326.09848,329.5932,340.01318,353.49036,448.41705,462.63068,475.31256,486.40576,462.57928,454.67224,462.39386,472.28833,456.90643,476.40027,467.82855,491.72205,0.9906417,0.9875606,0.9961231,0.48924822,0.9608631,0.5762473,0.62701833,0.011659861,0.017532349,0.023300916,0.03565243,0.0054600537,0.00637874,0.0025829077,0.0028175712,0.0020697415,0.0020506382
32,316.56677,340.54016,276.4443,370.4728,219.0345,415.81076,161.86229,462.27588,125.38927,383.1595,206.63483,371.05652,217.36592,387.88223,220.66997,303.018,286.4336,358.04373,327.0169,329.45404,341.09927,351.70148,448.3385,462.83533,472.43182,488.84015,462.7146,451.66144,468.91693,479.0636,452.70605,471.90027,467.51392,489.1046,0.9900315,0.98721826,0.9957655,0.5051057,0.9583049,0.5847339,0.6252645,0.011525482,0.01664254,0.023165673,0.034752935,0.0052287877,0.005979508,0.0027926266,0.0030436218,0.0024891198,0.00246045
33,317.58398,341.45386,276.78937,370.0886,218.0149,416.43448,155.91776,462.6886,118.39896,376.39917,208.23183,371.38586,213.66396,389.0118,213.45155,302.99454,283.84314,361.13965,327.9399,330.018,341.884,352.18552,453.1328,468.65698,475.516,494.5735,460.3343,454.6526,462.77185,473.59436,458.07428,477.99286,466.0854,489.4983,0.98936284,0.9872711,0.9956806,0.51895446,0.9561895,0.5319907,0.59867495,0.008835256,0.013844848,0.02049619,0.031542152,0.0045093,0.005345404,0.00250718,0.0027983189,0.0022072792,0.002229482
34,317.0327,341.52197,276.20883,370.66083,219.03333,419.48187,157.81203,464.05286,119.72092,378.29178,201.93422,375.27832,214.52872,393.97726,207.20412,308.5496,268.94547,361.66904,328.05945,329.9287,345.22864,354.98114,454.18292,467.60608,474.39093,489.01093,465.25012,456.39313,452.69775,461.74335,459.9651,476.70776,474.17847,493.63892,0.9896979,0.9887127,0.99575055,0.5487196,0.9541087,0.5093839,0.575252,0.008683205,0.014040738,0.019024014,0.029964566,0.004911065,0.0059447885,0.002502501,0.002815932,0.0020126402,0.0020682514
35,309.85522,336.84097,270.01645,373.13913,217.6385,417.56293,159.00174,457.63275,117.922455,374.9718,203.77599,370.11407,213.37894,388.48914,218.72887,297.4262,284.03024,362.6425,328.02356,331.31277,342.40094,353.66452,451.90308,468.3595,475.90967,493.40863,460.5675,450.79785,460.338,471.60474,455.8506,478.1831,465.34875,493.36005,0.98880875,0.9899975,0.9939451,0.68536,0.91666555,0.53268504,0.6299823,0.009198278,0.016498268,0.022252083,0.03630215,0.0046310425,0.0059863925,0.002319008,0.002911508,0.0018599033,0.0021069646
36,307.9788,335.40918,268.9527,372.09283,216.68547,418.50467,158.00186,461.0719,114.1819,384.87054,183.90552,371.32916,213.47,391.5716,215.68521,298.04926,281.98755,363.332,329.5697,332.14493,342.88068,352.26068,450.36957,465.2948,471.63446,488.98425,463.9947,454.83496,459.31165,469.10327,451.91504,470.3587,467.00134,490.1325,0.98888886,0.99028003,0.9943027,0.68737644,0.92324424,0.53744733,0.62432575,0.0088817775,0.0157305,0.018872023,0.030899882,0.00455603,0.0058924556,0.0024583042,0.0030705929,0.0021634996,0.0024522543
