frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
20,409.23096,476.33008,354.86554,556.8098,276.60046,645.74976,142.21939,710.70325,-6.8227234,627.9292,25.403961,478.61298,161.34015,538.1599,151.70062,379.38147,268.69873,664.7327,616.6531,608.41833,675.7611,651.28253,982.32324,883.04724,1209.2327,884.2668,1139.2607,542.85986,1257.5276,1219.2141,1086.1609,1060.1614,1143.5518,1133.2561,0.9963521,0.9925518,0.99531734,0.78352576,0.8674651,0.89556015,0.96574265,0.11096576,0.5206968,0.1661179,0.5867286,0.013210952,0.028947234,0.0007709265,0.001891613,0.00018236041,0.00034174323
21,88.7543,93.559326,83.90442,90.6124,75.23486,72.80759,48.819702,20.037079,14.7821045,38.195007,40.92981,40.29541,19.051758,48.603302,14.38501,71.36163,66.58093,449.1781,421.87354,421.7506,421.94333,423.38495,528.3037,530.7677,696.77136,700.9103,565.909,562.4725,765.0332,767.1575,600.3217,594.6138,603.22144,585.53845,0.024941415,0.011208653,0.006618738,0.01713559,0.008869022,0.13243878,0.0359219,0.32400346,0.06375247,0.63644165,0.2953121,0.028027117,0.012596458,0.016019285,0.007058352,0.01173377,0.0065315664
22,90.07846,96.086,84.15796,93.440125,72.41205,77.05737,46.845215,28.978363,18.013855,30.774048,33.312195,41.253662,16.672607,52.588715,14.004547,67.870544,65.957855,454.534,427.17126,426.93896,428.0727,428.87793,531.75946,534.093,672.4143,675.9105,582.04,577.0169,741.65466,742.9546,598.1518,592.7709,608.4182,593.1891,0.024751335,0.011841953,0.006955743,0.018075526,0.00927031,0.123191714,0.03207174,0.30786693,0.05749592,0.60725397,0.2634129,0.032208264,0.014317334,0.01879096,0.008161247,0.013814777,0.0075934827
23,409.73047,473.56775,352.40582,552.4343,272.55774,650.845,142.66882,716.40796,-2.0844421,626.85974,17.048279,493.90515,171.94232,558.24945,156.51953,392.64325,263.56567,668.4705,619.4511,614.19037,675.58344,659.58624,981.1392,889.3824,1207.1307,899.1306,1131.815,586.77246,1259.4766,1224.7449,1098.203,1077.8542,1154.2678,1154.7129,0.9963788,0.99291265,0.99569654,0.7784345,0.8850231,0.89579666,0.959543,0.106024474,0.44694173,0.14815629,0.5134004,0.0140631795,0.028405994,0.0008251667,0.0018470287,0.00019818544,0.00034838915
24,408.83966,472.57922,351.30817,553.44147,272.09808,652.0298,140.90161,715.8617,-3.4250488,624.9661,21.330261,488.96124,164.27435,560.7013,152.0882,386.43555,249.84576,668.3457,618.92255,615.23975,672.83923,659.7711,978.0144,887.5276,1214.8235,907.7846,1140.8845,601.37646,1261.1073,1227.3564,1099.0569,1082.2706,1153.8099,1161.918,0.9962002,0.99304605,0.9955394,0.79577565,0.8794796,0.89412856,0.95786655,0.09836963,0.41928083,0.1281437,0.46811923,0.014001042,0.028095663,0.0008394122,0.0018829703,0.00021409988,0.00037682056
25,410.84607,471.58655,353.49622,548.2862,271.7422,646.1749,144.1684,718.97095,-3.716339,644.8389,30.386871,495.76184,178.07584,567.9918,167.8349,420.81226,268.67603,666.6333,618.9437,615.0662,669.71564,657.91693,971.0689,887.1857,1203.7313,928.0875,1143.3827,654.2777,1263.8047,1231.998,1089.0638,1067.6936,1167.1626,1162.585,0.99588406,0.99065685,0.99630916,0.7117318,0.91530067,0.87770283,0.9548135,0.08468759,0.45553538,0.12235668,0.52002525,0.013394564,0.029775769,0.0011273623,0.0027186275,0.00034579635,0.0006237924
26,409.29706,471.0105,352.50787,548.9723,271.2392,645.392,139.21149,717.955,0.52578735,646.156,30.792511,488.37024,168.07343,568.6066,166.4422,412.65985,269.5808,666.32916,618.5398,615.1233,670.9518,659.3977,970.4599,890.0814,1198.0171,940.9954,1133.0115,690.9055,1255.9995,1225.9248,1077.5507,1060.436,1156.349,1163.1039,0.9957767,0.9901972,0.9964248,0.7016958,0.9225056,0.8773166,0.95207393,0.07723501,0.41146725,0.11136708,0.47588676,0.012488484,0.026983976,0.0011533797,0.0027160943,0.00037804246,0.0006637573
27,408.58655,469.34692,354.63965,547.06744,275.72406,644.2512,130.34183,715.0303,-12.161652,650.7224,34.23654,495.30505,172.12549,571.51306,167.52808,385.54834,268.35242,667.876,620.9916,615.7875,667.4233,652.29504,959.57666,890.4013,1187.7161,987.1166,1147.3776,808.4464,1258.3256,1233.3544,1103.6128,1088.9094,1187.4868,1201.1238,0.9948445,0.9926649,0.9950421,0.82060474,0.88937926,0.8821204,0.9152602,0.05549428,0.15018162,0.050582647,0.14939052,0.011053711,0.017315388,0.0013490319,0.0022426844,0.0005849004,0.000826478
28,408.48492,470.22742,351.72583,548.438,267.609,651.5857,142.04645,723.41437,20.227234,653.09717,18.724823,526.723,210.26971,589.9604,196.68335,404.64484,316.5075,669.4917,620.69745,614.1041,664.55927,648.9187,966.9052,916.34753,1183.9608,1063.0645,1149.5806,978.3085,1261.836,1240.3839,1115.0696,1087.4199,1205.3376,1199.6438,0.9955206,0.99329126,0.99561965,0.8117877,0.9083874,0.9122052,0.91387534,0.066244274,0.10961285,0.05642402,0.10709584,0.010176808,0.012985468,0.0013998151,0.0018567443,0.00061285496,0.00075247884
29,409.6723,470.56195,350.10272,548.1207,264.2395,652.9479,120.88577,726.46045,9.214508,655.0862,120.52847,507.49683,173.68085,585.75757,185.67505,403.1056,324.50702,666.64374,619.54626,614.43884,672.8047,658.27606,983.0517,879.69415,1165.4425,862.2662,1140.6764,696.48535,1247.7046,1214.4668,1097.0437,1085.8564,1187.175,1221.3176,0.99435914,0.9929376,0.9949095,0.79037917,0.8913758,0.83252907,0.8062869,0.039072633,0.07357025,0.042512,0.104252726,0.008661568,0.01145184,0.0014625788,0.0021390617,0.0007363856,0.0009223521
30,407.8291,470.2619,347.55573,549.85956,266.02954,676.4901,105.900024,735.5219,1.8940735,640.8264,72.64682,527.1313,169.775,599.7457,179.40948,334.18323,328.82068,672.8353,617.28253,614.10254,670.05396,659.56573,992.48834,899.991,1219.518,977.91046,1169.1536,953.4118,1253.7103,1222.7021,1127.4896,1114.3394,1196.4523,1258.9764,0.99343634,0.993456,0.99317896,0.8849791,0.8820087,0.8842704,0.889312,0.031995147,0.06029114,0.022562772,0.048835695,0.0074232817,0.010219365,0.0009688139,0.0014704168,0.0004723966,0.0006412864
31,407.33368,468.08966,347.31598,546.77905,259.90454,659.5289,110.42096,725.86206,-5.0697937,641.6725,67.8147,516.673,167.75565,598.2747,155.42114,397.86523,265.89624,668.09094,619.5058,615.0023,669.5646,658.5261,972.7696,904.539,1212.409,1049.3188,1174.5282,1062.0476,1269.7625,1246.7192,1116.082,1098.7623,1190.095,1224.079,0.9950887,0.99366295,0.9958595,0.8243445,0.91688234,0.89768994,0.8849528,0.054124206,0.080968946,0.0365268,0.05826676,0.009023726,0.010992825,0.0010903478,0.001376301,0.0005840063,0.0006811023
